city,sector,orders_per_week,avg_weight_kg,business_model,pct_ultra_urgent,pct_same_day,pct_next_day,peak_hours,avg_distance_km,current_provider,curr_time_hr,curr_cost_aed,fail_rate_band,tracking_sat,delay_churn,eta_importance,fuel_pain,prem_fast_pct,top_pain,stops_per_route,traffic_level,dispatch_day,vehicle_type,fuel_price,cost_threshold_aedkm,time_value_aed,wage_share_pct,maint_cost_aedkm,fuel_strategy,overall_csat,renew_intent,nps,switch_past,repeat_speed_impact,trust_ai,ai_dashboard_influence,choose_speed_equalcost,ai_worry,ai_cost_saving_est,growth_pct_nextyr,expand_timeline,launch_zone_pref,season_peaks,beta_opt_in,api_integration,returns_pct,co2_importance,analytics_usage,contract_term_pref
Dubai,Other,54.0,10.68,B2B,20.1,60.6,19.3,"6-9 AM,6-9 PM,3-6 PM",27.9,Competitor B,3.7,12.33,<1 %,5.0,5.0,3.0,1.0,5.6,Delay,1.0,Heavy,Weekends,Van,2.88,3.88,6.81,38.3,0.79,Switch provider,4.0,4.0,6.0,Yes,4.0,1.0,3.0,5.0,Tech failures,10.3,3.5,No plans,Dubai core,Ramadan,No,No,30.8,5.0,3.0,6 months
Other,Manufacturing,12.0,1.35,B2C,3.2,49.2,47.6,"12-3 PM,6-9 PM",79.1,In-house,6.7,32.77,<1 %,4.0,5.0,5.0,3.0,5.9,Damaged goods,6.0,Heavy,Weekdays,Bike,3.15,3.75,4.08,36.1,0.89,Switch provider,3.0,4.0,4.0,Yes,3.0,5.0,5.0,2.0,Tech failures,3.0,9.6,12 mo+,Dubai core,"Year-end,Back-to-School",Yes,No,8.7,3.0,1.0,Month-to-month
Sharjah,Electronics,15.0,3.01,B2B,6.6,73.3,20.1,"12-3 PM,6-9 PM",52.6,In-house,9.7,21.31,1-3 %,4.0,5.0,5.0,2.0,7.8,Poor support,4.0,Moderate,Weekends,Mix,3.27,3.26,6.67,28.2,0.93,Reduce service area,5.0,4.0,9.0,No,5.0,4.0,1.0,4.0,None,4.9,19.5,6 mo,Dubai core,Year-end,Yes,No,28.7,4.0,3.0,6 months
Dubai,Electronics,46.0,7.36,B2B,47.8,38.4,13.9,"12-3 PM,6-9 PM",24.9,Fetchr,18.8,82.4,1-3 %,5.0,3.0,4.0,2.0,16.2,Poor support,3.0,Moderate,Weekdays,Van,3.33,4.15,28.69,50.2,0.6,Raise delivery fee,3.0,4.0,8.0,Yes,4.0,3.0,5.0,3.0,Tech failures,8.7,10.9,6 mo,Dubai core,Year-end,Yes,Yes,14.7,2.0,3.0,1 year
Dubai,E-commerce,57.0,2.51,B2B,9.9,58.5,31.6,"3-6 PM,12-3 PM",26.0,Competitor A,12.4,21.77,1-3 %,3.0,30.988169789151883,5.0,2.0,16.3,Delay,5.0,Heavy,Equally both,N/A,3.15,2.93,18.15,42.3,0.67,Raise delivery fee,3.0,4.0,2.0,No,5.0,3.0,4.0,5.0,Data privacy,8.7,20.5,No plans,Abu Dhabi suburbs,"DSF,Ramadan",Yes,Yes,15.1,4.0,5.0,2+ years
Dubai,Other,65.0,4.24,Both,25.2,57.5,17.3,"6-9 AM,12-3 PM",13.7,Competitor A,17.3,42.18,1-3 %,1.0,4.0,1.0,2.0,8.2,Delay,10.0,Moderate,Weekdays,Mix,3.01,2.91,12.0,45.8,0.63,Switch provider,4.0,4.0,10.0,No,3.0,3.0,4.0,1.0,None,62.667123429518334,3.3,No plans,Dubai core,None,No,No,37.8,5.0,4.0,Month-to-month
Dubai,Other,5.0,1.21,B2C,34.3,17.7,48.0,6-9 AM,39.3,Fetchr,11.4,25.47,<1 %,2.0,3.0,5.0,4.0,12.8,Damaged goods,56.459093925053004,Moderate,Weekdays,Mix,2.84,3.35,20.96,14.7,1.0,Raise delivery fee,5.0,3.0,0.0,No,5.0,3.0,4.0,3.0,Tech failures,15.0,16.5,12 mo+,Sharjah industrial,,No,No,15.5,4.0,2.0,Month-to-month
Abu Dhabi,Manufacturing,29.0,2.07,B2B,14.8,66.3,19.0,6-9 AM,12.3,Other,8.5,43.91,1-3 %,3.0,4.0,1.0,5.0,2.8,Poor support,2.0,Heavy,Weekends,Bike,3.05,4.9,3.33,24.7,0.83,Raise delivery fee,4.0,3.0,10.0,No,4.0,4.0,2.0,5.0,None,11.6,11.9,No plans,Dubai core,,No,Yes,39.7,3.0,5.0,6 months
Sharjah,Grocery/Retail,24.0,3.99,B2C,19.1,56.0,24.9,"6-9 PM,6-9 AM",66.0,Competitor A,17.0,58.09,>10 %,1.0,5.0,21.989308496747007,4.0,5.1,Delay,5.0,Heavy,Weekdays,Truck,3.22,4.64,6.09,25.5,0.71,Raise delivery fee,5.0,4.0,9.0,No,3.0,4.0,4.0,3.0,Driver adoption,9.1,11.2,12 mo+,Sharjah industrial,,Yes,Yes,18.2,1.0,5.0,1 year
Abu Dhabi,E-commerce,19.0,2.33,B2B,9.1,70.3,20.6,"6-9 PM,12-3 PM,6-9 AM",32.9,Competitor B,10.2,37.41,3-5 %,5.0,5.0,5.0,4.0,6.1,Poor support,5.0,Moderate,Weekends,Van,3.12,4.04,10.3,32.6,1.0,Switch provider,4.0,4.0,7.0,Yes,3.0,4.0,4.0,3.0,Driver adoption,13.8,16.3,6 mo,Dubai core,"Ramadan,Back-to-School,Eid",Yes,Yes,15.2,5.0,4.0,6 months
Dubai,E-commerce,21.0,2.67,Both,32.1,34.1,33.8,9 AM-12,9.0,In-house,20.7,37.16,<1 %,2.0,3.0,5.0,3.0,1.6,Damaged goods,6.0,Moderate,Weekdays,Van,2.85,5.41,6.67,44.5,0.52,Raise delivery fee,4.0,4.0,0.0,Yes,5.0,4.0,2.0,4.0,Driver adoption,1.5,2.0,12 mo+,Northern Emirates,DSF,No,Yes,11.3,3.0,5.0,1 year
Sharjah,E-commerce,56.0,1.34,B2B,27.6,48.3,24.1,"3-6 PM,12-3 PM,9 AM-12",31.1,Competitor A,6.6,19.71,5-10 %,2.0,4.0,5.0,4.0,12.7,Delay,2.0,Moderate,Equally both,Bike,2.89,3.21,3.13,29.2,0.76,Absorb cost,4.0,5.0,5.0,No,4.0,2.0,4.0,5.0,Data privacy,5.9,17.4,6 mo,Dubai core,,Yes,No,31.6,5.0,5.0,Month-to-month
Sharjah,Grocery/Retail,46.0,4.92,B2B,5.2,73.8,21.0,"12-3 PM,6-9 PM,6-9 AM",24.4,Competitor A,24.4,26.05,1-3 %,2.0,3.0,2.0,5.0,17.7,Delay,6.0,Moderate,Weekdays,Bike,3.01,4.21,7.06,34.2,0.81,Absorb cost,3.0,4.0,1.0,No,2.0,3.0,5.0,4.0,Tech failures,6.0,19.6,6 mo,Dubai core,,No,No,19.4,4.0,4.0,6 months
Dubai,Food-delivery,41.0,1.49,B2C,19.2,71.7,9.1,"12-3 PM,9 AM-12,6-9 PM",9.3,Competitor A,18.4,39.83,3-5 %,5.0,3.0,5.0,3.0,10.4,Cost overruns,9.0,Moderate,Weekdays,Van,2.94,6.74,19.42,21.9,0.78,Reduce service area,5.0,2.0,6.0,Yes,3.0,5.0,5.0,5.0,Data privacy,4.9,19.5,No plans,Dubai core,"Ramadan,Year-end,DSF",Yes,Yes,11.6,4.0,5.0,2+ years
Abu Dhabi,Other,23.0,8.37,B2B,24.3,61.6,14.0,"12-3 PM,9 AM-12,6-9 PM",18.0,Aramex,10.8,40.37,5-10 %,2.0,4.0,3.0,2.0,3.0,Delay,3.0,Moderate,Weekends,Mix,3.14,4.52,6.27,27.5,0.93,Raise delivery fee,4.0,4.0,9.0,Yes,3.0,5.0,4.0,4.0,None,9.7,26.2,12 mo+,Northern Emirates,Year-end,No,Yes,50.2,5.0,5.0,1 year
Abu Dhabi,E-commerce,123.0,2.2,B2B,24.7,60.7,14.6,"6-9 AM,12-3 PM",43.5,In-house,6.4,34.0,>10 %,3.0,3.0,5.0,2.0,10.3,Billing errors,8.0,Moderate,Weekdays,Truck,3.04,4.83,19.45,33.4,0.64,Raise delivery fee,5.0,3.0,4.0,No,4.0,4.0,4.0,4.0,Driver adoption,5.3,-5.0,6 mo,Dubai core,"Ramadan,Back-to-School,Year-end",Yes,Yes,13.1,4.0,5.0,6 months
Sharjah,E-commerce,14.0,5.37,Both,11.1,40.2,48.7,"9 AM-12,12-3 PM",33.7,Other,9.1,37.0,3-5 %,3.0,4.0,4.0,3.0,13.9,Delay,6.0,Heavy,Weekends,Mix,3.17,4.74,5.2,31.4,0.67,Reduce service area,4.0,5.0,0.0,No,4.0,4.0,5.0,4.0,None,8.6,26.2,12 mo+,Dubai core,"Eid,DSF",Yes,Yes,38.4,5.0,1.0,2+ years
Dubai,E-commerce,5.0,5.06,Both,21.6,48.6,29.8,"12-3 PM,6-9 PM",25.4,Aramex,10.9,58.08,>10 %,3.0,4.0,4.0,2.0,20.2,Delay,4.0,Moderate,Weekends,Van,3.14,5.19,5.25,40.4,0.81,Raise delivery fee,5.0,3.0,2.0,No,4.0,5.0,3.0,5.0,Tech failures,15.7,16.9,12 mo+,Dubai core,,Yes,No,39.3,3.0,5.0,6 months
Dubai,Other,16.0,1.84,Both,42.8,35.1,22.1,"12-3 PM,3-6 PM",22.0,Competitor A,20.8,26.73,5-10 %,2.0,3.0,5.0,5.0,8.7,Delay,3.0,Moderate,Weekdays,Van,2.99,4.6,6.92,33.2,0.43,Absorb cost,4.0,1.0,8.0,No,3.0,2.0,2.0,4.0,Tech failures,13.9,14.0,No plans,Sharjah industrial,"Year-end,DSF,Back-to-School",Yes,No,24.4,5.0,2.0,Month-to-month
Abu Dhabi,Food-delivery,21.0,2.35,B2C,32.1,41.8,26.1,"9 AM-12,6-9 AM",11.3,Fetchr,11.1,35.7,1-3 %,3.0,3.0,5.0,3.0,3.8,Delay,4.0,Moderate,Weekdays,Van,3.33,4.55,29.99,27.5,1.0,Raise delivery fee,5.0,3.0,8.0,No,5.0,4.0,4.0,4.0,Tech failures,10.3,20.7,No plans,Dubai core,"Back-to-School,Eid,DSF",No,No,33.4,19.786188439843354,3.0,6 months
Dubai,Grocery/Retail,56.0,2.52,B2B,7.3,33.3,59.5,"3-6 PM,12-3 PM,6-9 AM",20.9,In-house,18.2,28.41,<1 %,1.0,4.0,5.0,3.0,4.0,Cost overruns,4.0,Moderate,Weekends,Van,3.07,5.53,4.64,35.1,0.94,Raise delivery fee,4.0,3.0,1.0,No,3.0,2.0,4.0,5.0,Driver adoption,4.9,18.1,No plans,Sharjah industrial,Ramadan,Yes,No,23.8,4.0,5.0,2+ years
Dubai,Grocery/Retail,13.0,2.63,Both,21.9,21.8,56.2,"6-9 AM,6-9 PM",32.9,Competitor A,8.9,49.56,3-5 %,4.0,5.0,4.0,1.0,17.9,Delay,2.0,Moderate,Weekdays,Mix,3.08,5.28,20.45,33.8,0.62,Raise delivery fee,5.0,5.0,2.0,No,4.0,2.0,4.0,3.0,None,6.4,9.5,6 mo,Abu Dhabi suburbs,"Ramadan,DSF,Back-to-School",No,No,17.3,4.0,5.0,Month-to-month
Sharjah,Grocery/Retail,29.0,1.52,B2C,12.4,62.4,25.2,"6-9 PM,9 AM-12,3-6 PM",19.0,Competitor B,11.0,33.38,1-3 %,5.0,5.0,4.0,4.0,7.7,Poor support,2.0,Moderate,Equally both,Mix,3.14,4.25,2.16,41.2,0.55,Raise delivery fee,4.0,1.0,8.0,No,2.0,5.0,5.0,5.0,Driver adoption,5.8,-1.0,12 mo+,Dubai core,"Back-to-School,DSF",No,Yes,37.5,2.0,5.0,6 months
Dubai,E-commerce,6.0,4.57,B2C,100.0,70.3,14.2,"9 AM-12,6-9 PM",44.7,In-house,11.4,18.42,1-3 %,4.0,3.0,5.0,4.0,3.7,Delay,5.0,Moderate,Weekdays,Van,2.79,3.48,25.03,46.0,0.57,Reduce service area,2.0,4.0,1.0,No,3.0,5.0,5.0,4.0,None,1.6,18.4,3 mo,Dubai core,Eid,No,Yes,11.4,4.0,4.0,Month-to-month
Abu Dhabi,E-commerce,47.0,2.2,B2C,39.5,35.2,25.3,"6-9 AM,3-6 PM",11.9,Competitor A,44.6,36.9,1-3 %,1.0,5.0,4.0,3.0,6.7,Delay,4.0,Moderate,Equally both,Bike,3.15,4.56,30.09,100.0,1.22,Absorb cost,4.0,5.0,6.0,No,5.0,4.0,5.0,5.0,Tech failures,4.9,21.1,12 mo+,Abu Dhabi suburbs,Back-to-School,No,No,12.8,4.0,2.0,2+ years
Other,E-commerce,21.0,3.1,B2C,12.5,61.7,25.8,12-3 PM,26.4,Fetchr,21.9,47.76,5-10 %,1.0,3.0,5.0,4.0,8.6,Billing errors,8.0,Light,Weekdays,N/A,2.95,3.46,10.88,43.3,0.65,Raise delivery fee,5.0,5.0,5.0,No,3.0,4.0,5.0,5.0,Tech failures,19.5,16.5,12 mo+,Sharjah industrial,,Yes,Yes,7.9,4.0,4.0,1 year
Abu Dhabi,E-commerce,16.0,6.07,B2C,24.7,64.4,10.9,"6-9 PM,6-9 AM",28.9,Competitor B,16.4,22.91,<1 %,1.0,5.0,4.0,2.0,11.4,Delay,6.0,Moderate,Weekdays,Mix,2.95,3.03,9.74,48.5,0.68,Reduce service area,4.0,5.0,2.0,No,3.0,4.0,5.0,5.0,Driver adoption,15.7,15.1,No plans,Dubai core,,Yes,No,19.5,3.0,5.0,1 year
Abu Dhabi,Grocery/Retail,110.0,4.68,Both,21.8,34.7,43.5,"9 AM-12,12-3 PM,6-9 AM",48.5,Fetchr,15.4,45.5,1-3 %,4.0,4.0,2.0,1.0,12.0,Cost overruns,2.0,Moderate,Weekdays,Truck,3.21,4.71,13.45,19.6,0.93,Switch provider,3.0,4.0,9.0,No,3.0,4.0,2.0,3.0,Data privacy,5.6,28.1,12 mo+,Dubai core,Eid,Yes,Yes,8.6,4.0,4.0,6 months
Abu Dhabi,Pharma & Med-supplies,47.0,2.29,Both,10.8,47.5,41.7,"12-3 PM,6-9 AM",37.5,Competitor B,23.8,36.72,<1 %,1.0,4.0,5.0,5.0,2.8,Poor support,5.0,Moderate,Weekdays,Mix,2.79,3.49,20.27,30.3,0.79,Raise delivery fee,5.0,5.0,7.0,No,4.0,4.0,4.0,5.0,None,11.7,13.2,No plans,Abu Dhabi suburbs,"Eid,Year-end",No,No,27.2,4.0,4.0,1 year
Dubai,Manufacturing,8.0,6.2,Both,52.1,14.4,33.6,"6-9 AM,3-6 PM",14.1,Competitor B,5.6,54.59,1-3 %,5.0,3.0,4.0,4.0,4.8,Delay,5.0,Light,Weekends,Van,3.3,4.44,2.48,41.8,1.07,Raise delivery fee,5.0,4.0,6.0,Yes,4.0,3.0,4.0,2.0,Data privacy,12.1,17.7,6 mo,Abu Dhabi suburbs,,Yes,Yes,52.9,4.0,4.0,2+ years
Dubai,Grocery/Retail,18.0,4.95,Both,35.0,42.5,22.5,"6-9 PM,3-6 PM,12-3 PM",48.5,Other,3.7,17.24,1-3 %,2.0,5.0,5.0,1.0,21.7,Damaged goods,4.0,Light,Weekdays,N/A,3.07,5.15,44.38,38.6,0.84,Raise delivery fee,4.0,1.0,8.0,No,4.0,3.0,5.0,2.0,Driver adoption,18.1,21.9,3 mo,Northern Emirates,Ramadan,Yes,Yes,21.5,4.0,26.77756355715111,1 year
Abu Dhabi,Grocery/Retail,179.0,2.17,B2C,18.1,40.0,41.9,3-6 PM,18.1,Competitor A,14.3,551.8459588337361,1-3 %,2.0,5.0,16.491981372560254,2.0,8.2,Damaged goods,4.0,Light,Weekends,N/A,2.95,2.96,25.23,23.2,0.4,Absorb cost,4.0,16.463144816957445,4.0,No,5.0,2.0,5.0,3.0,None,8.4,24.9,3 mo,Sharjah industrial,"Year-end,Eid,DSF",No,No,23.8,3.0,4.0,Month-to-month
Dubai,Other,97.0,2.44,B2B,27.0,27.6,45.4,"6-9 PM,9 AM-12,3-6 PM",15.7,Competitor B,10.2,20.59,3-5 %,4.0,4.0,4.0,2.0,16.5,Delay,8.0,Heavy,Weekdays,N/A,2.9,4.9,4.53,42.1,0.82,Raise delivery fee,5.0,3.0,5.0,No,2.0,4.0,4.0,3.0,None,15.9,14.3,3 mo,Dubai core,Back-to-School,Yes,No,9.9,4.0,4.0,6 months
Dubai,Pharma & Med-supplies,42.0,6.05,B2C,31.9,41.4,26.7,"6-9 AM,3-6 PM,12-3 PM",20.0,Competitor A,8.2,24.61,5-10 %,1.0,3.0,5.0,4.0,3.9,Delay,6.0,Light,Weekdays,Van,2.99,4.31,9.06,35.9,0.65,Switch provider,3.0,4.0,3.0,Yes,4.0,5.0,4.0,4.0,Tech failures,5.1,10.1,12 mo+,Dubai core,"DSF,Eid",No,No,11.9,4.0,4.0,1 year
Dubai,Electronics,4.0,5.3,B2C,19.7,46.4,33.9,12-3 PM,25.4,Fetchr,17.3,20.27,1-3 %,5.0,4.0,21.989308496747007,3.0,4.6,Damaged goods,8.0,Moderate,Weekdays,Bike,3.13,4.66,11.17,30.7,0.81,Reduce service area,1.0,2.0,1.0,Yes,3.0,1.0,4.0,5.0,Data privacy,17.0,21.7,12 mo+,Sharjah industrial,,Yes,No,68.6,3.0,1.0,6 months
Sharjah,E-commerce,58.0,1.35,B2B,6.2,72.9,20.9,"3-6 PM,9 AM-12,6-9 AM",58.4,Competitor B,4.1,22.79,5-10 %,3.0,3.0,5.0,3.0,6.0,Billing errors,4.0,Light,Equally both,Mix,3.35,5.36,14.38,25.9,0.93,Reduce service area,5.0,5.0,10.0,No,4.0,5.0,5.0,5.0,Data privacy,18.4,16.3,6 mo,Abu Dhabi suburbs,"Eid,Ramadan,DSF",No,No,11.3,2.0,4.0,2+ years
Dubai,Manufacturing,12.0,1.82,B2C,9.5,57.0,33.4,6-9 PM,34.3,Competitor B,20.3,16.65,>10 %,4.0,4.0,4.0,3.0,20.0,Delay,7.0,Moderate,Weekdays,Mix,2.89,3.22,8.64,15.8,0.93,Reduce service area,4.0,3.0,2.0,No,5.0,5.0,3.0,4.0,Driver adoption,5.3,7.3,3 mo,Dubai core,None,Yes,No,31.5,3.0,4.0,6 months
Sharjah,Grocery/Retail,321.15998238799534,5.04,B2C,15.5,62.3,22.2,9 AM-12,54.7,Fetchr,25.7,11.43,1-3 %,3.0,2.0,4.0,3.0,17.3,Delay,3.0,Moderate,Weekdays,N/A,2.89,4.02,5.23,36.0,1.09,Raise delivery fee,4.0,5.0,5.0,No,4.0,4.0,3.0,2.0,Data privacy,4.3,9.1,12 mo+,Abu Dhabi suburbs,,No,No,7.8,4.0,5.0,Month-to-month
Dubai,E-commerce,11.0,1.64,B2C,22.0,70.7,7.4,6-9 PM,42.2,Other,6.8,28.41,3-5 %,3.0,3.0,5.0,4.0,17.6,Cost overruns,9.0,Moderate,Weekdays,Van,2.94,4.58,59.02,33.6,0.98,Switch provider,3.0,5.0,0.0,No,5.0,2.0,5.0,4.0,None,3.4,10.8,6 mo,Dubai core,,Yes,Yes,29.4,5.0,5.0,6 months
Abu Dhabi,E-commerce,29.0,5.38,B2C,22.0,31.8,46.2,3-6 PM,54.8,Competitor A,29.1,82.49,3-5 %,4.0,5.0,5.0,3.0,4.4,Poor support,3.0,Moderate,Weekdays,Van,2.72,4.27,15.68,34.7,0.97,Raise delivery fee,3.0,4.0,3.0,No,4.0,3.0,4.0,4.0,Data privacy,8.9,26.1,6 mo,Dubai core,"DSF,Eid",Yes,No,1.9,4.0,4.0,2+ years
Dubai,Manufacturing,12.0,10.61,Both,4.7,57.7,37.6,9 AM-12,21.7,Competitor A,19.8,51.02,>10 %,5.0,4.0,3.0,4.0,13.6,Delay,5.0,Moderate,Weekdays,Truck,3.38,3.78,7.75,36.1,1.02,Switch provider,3.0,4.0,6.0,No,4.0,4.0,4.0,5.0,None,5.2,5.8,3 mo,Sharjah industrial,"Eid,DSF",No,Yes,14.5,5.0,3.0,1 year
Dubai,Electronics,15.0,4.15,B2B,33.1,33.7,33.2,"6-9 AM,12-3 PM",3.9,Competitor B,10.5,25.09,1-3 %,1.0,3.0,3.0,2.0,6.6,Cost overruns,5.0,Moderate,Weekdays,Van,3.18,3.32,30.34,40.4,0.83,Reduce service area,4.0,5.0,1.0,No,2.0,4.0,1.0,4.0,None,5.3,22.1,6 mo,Dubai core,None,No,No,15.8,4.0,5.0,6 months
Abu Dhabi,Electronics,33.0,1.91,Both,8.1,57.1,34.9,"6-9 AM,6-9 PM",77.1,In-house,109.82515517559818,54.63,1-3 %,3.0,2.0,4.0,3.0,4.5,Poor support,10.0,Light,Weekends,Bike,3.08,4.79,107.10845509308288,40.2,0.75,Raise delivery fee,3.0,4.0,10.0,No,2.0,4.0,3.0,4.0,Tech failures,10.2,7.5,3 mo,Sharjah industrial,Eid,No,No,18.9,4.0,3.0,Month-to-month
Abu Dhabi,Grocery/Retail,6.0,3.69,B2B,32.3,36.9,30.8,"12-3 PM,9 AM-12,6-9 PM",32.8,Competitor A,12.3,22.11,3-5 %,3.0,4.0,2.0,3.0,15.1,Poor support,4.0,Heavy,Weekdays,Bike,3.2,5.52,11.83,33.8,0.79,Raise delivery fee,4.0,3.0,5.0,No,4.0,5.0,5.0,5.0,Tech failures,16.0,11.3,6 mo,Sharjah industrial,,No,Yes,36.9,2.0,3.0,6 months
Dubai,Electronics,134.0,6.18,B2C,13.3,58.2,28.5,12-3 PM,54.7,Fetchr,13.5,15.04,1-3 %,1.0,5.0,3.0,2.0,13.6,Poor support,3.0,Moderate,Weekdays,Van,3.23,3.12,7.37,30.3,0.69,Absorb cost,3.0,3.0,0.0,Yes,4.0,5.0,2.0,4.0,Driver adoption,16.1,14.5,6 mo,Dubai core,"Ramadan,Year-end",Yes,No,45.3,5.0,4.0,1 year
Dubai,Grocery/Retail,8.0,3.52,Both,45.8,19.7,34.6,"6-9 PM,6-9 AM,9 AM-12",4.4,In-house,15.0,91.97,1-3 %,2.0,5.0,4.0,5.0,2.5,Delay,3.0,Moderate,Weekdays,Van,3.23,4.33,10.32,24.2,0.54,Raise delivery fee,4.0,3.0,9.0,No,2.0,4.0,4.0,5.0,Data privacy,13.6,15.5,3 mo,Abu Dhabi suburbs,Back-to-School,No,Yes,21.8,2.0,3.0,6 months
Dubai,E-commerce,8.0,4.44,Both,7.4,67.4,25.1,"6-9 AM,3-6 PM,12-3 PM",66.9,Aramex,30.9,60.83,3-5 %,1.0,5.0,5.0,2.0,30.80213388399324,Cost overruns,7.0,Heavy,Weekends,Van,3.01,3.78,10.33,32.1,0.67,Switch provider,4.0,2.0,6.0,Yes,4.0,4.0,5.0,4.0,Driver adoption,0.5,15.6,3 mo,Dubai core,,Yes,No,20.2,5.0,5.0,Month-to-month
Dubai,Grocery/Retail,33.0,2.06,B2B,17.8,71.2,11.1,"9 AM-12,6-9 PM,6-9 AM",89.8,Fetchr,9.0,114.4,<1 %,1.0,5.0,5.0,4.0,17.8,Cost overruns,4.0,Light,Weekdays,Mix,2.96,2.5,8.54,31.9,0.59,Absorb cost,2.0,4.0,10.0,Yes,3.0,4.0,3.0,4.0,None,15.5,22.9,3 mo,Northern Emirates,"Ramadan,Eid,Back-to-School",No,Yes,29.0,4.0,4.0,6 months
Abu Dhabi,Grocery/Retail,56.0,2.15,Both,22.7,50.6,26.7,6-9 PM,99.4,Aramex,12.2,7.92,1-3 %,1.0,5.0,4.0,2.0,12.4,Delay,8.0,Moderate,Weekdays,N/A,3.1,6.31,5.86,36.6,0.74,Switch provider,5.0,3.0,4.0,Yes,1.0,4.0,5.0,3.0,Data privacy,1.8,13.4,12 mo+,Dubai core,"Year-end,Eid",No,Yes,5.2,2.0,4.0,Month-to-month
Dubai,Food-delivery,15.0,5.72,Both,35.6,49.9,14.5,"3-6 PM,12-3 PM,6-9 AM",10.8,Competitor A,13.5,35.34,5-10 %,1.0,5.0,5.0,2.0,15.5,Damaged goods,2.0,Moderate,Weekends,Van,3.35,4.25,7.33,41.9,1.19,Switch provider,4.0,3.0,8.0,No,5.0,5.0,5.0,26.36510145001764,Driver adoption,10.2,3.5,3 mo,Sharjah industrial,"Back-to-School,Year-end,Eid",Yes,Yes,17.1,4.0,5.0,6 months
Abu Dhabi,Grocery/Retail,8.0,2.17,B2B,36.1,45.8,18.1,"12-3 PM,3-6 PM,6-9 AM",6.0,Competitor A,5.8,79.1,>10 %,3.0,4.0,16.491981372560254,3.0,10.9,Billing errors,5.0,Moderate,Weekdays,Mix,3.1,4.25,27.41,40.3,0.88,Raise delivery fee,5.0,1.0,6.0,No,4.0,4.0,4.0,3.0,Tech failures,12.2,21.5,No plans,Abu Dhabi suburbs,Ramadan,No,Yes,27.1,3.0,4.0,2+ years
Dubai,Grocery/Retail,9.0,0.7,B2C,18.6,54.6,26.8,"9 AM-12,6-9 AM,12-3 PM",12.5,Aramex,15.8,43.47,5-10 %,3.0,4.0,4.0,4.0,9.1,Poor support,4.0,Moderate,Weekends,N/A,3.02,4.99,4.74,44.1,0.95,Reduce service area,5.0,5.0,6.0,No,4.0,3.0,4.0,4.0,Tech failures,5.6,100.0,12 mo+,Dubai core,"Eid,Back-to-School,Year-end",Yes,Yes,10.0,5.0,3.0,Month-to-month
Abu Dhabi,Other,8.0,2.76,Both,37.3,57.6,5.1,"12-3 PM,6-9 AM",26.3,Fetchr,9.7,30.72,1-3 %,1.0,3.0,5.0,4.0,4.5,Delay,5.0,Heavy,Equally both,Mix,3.19,5.23,24.11,27.6,0.41,Raise delivery fee,4.0,4.0,10.0,No,4.0,3.0,5.0,2.0,Tech failures,7.2,27.0,6 mo,Abu Dhabi suburbs,,No,Yes,4.4,4.0,2.0,2+ years
Dubai,Food-delivery,25.0,4.01,B2B,5.0,69.8,25.2,"9 AM-12,12-3 PM",39.2,Competitor B,15.5,31.64,3-5 %,1.0,4.0,2.0,2.0,9.3,Cost overruns,6.0,Heavy,Weekdays,Truck,3.23,3.32,4.4,29.2,0.37,Switch provider,2.0,3.0,3.0,No,3.0,5.0,5.0,4.0,Data privacy,16.6,27.4,No plans,Northern Emirates,Eid,Yes,No,24.7,5.0,4.0,2+ years
Abu Dhabi,E-commerce,18.0,6.27,B2C,26.7,24.4,48.9,"6-9 PM,12-3 PM",16.9,Competitor A,11.0,36.36,<1 %,3.0,5.0,4.0,4.0,7.6,Damaged goods,8.0,Moderate,Weekdays,Van,2.67,3.65,3.47,31.2,0.74,Raise delivery fee,4.0,4.0,7.0,No,5.0,5.0,3.0,4.0,Tech failures,11.3,30.2,12 mo+,Dubai core,,No,No,13.0,3.0,4.0,1 year
Dubai,Other,28.0,8.91,B2C,19.9,55.5,24.6,6-9 AM,42.0,Competitor B,20.4,34.02,1-3 %,2.0,3.0,4.0,2.0,11.4,Poor support,5.0,Heavy,Weekdays,Van,3.31,4.8,10.43,43.7,0.86,Absorb cost,3.0,5.0,1.0,No,4.0,3.0,3.0,1.0,Driver adoption,11.9,16.2,12 mo+,Dubai core,"Eid,Year-end",Yes,Yes,14.1,4.0,2.0,6 months
RAK,E-commerce,26.0,3.49,B2C,13.3,64.9,21.8,"6-9 PM,6-9 AM,9 AM-12",19.1,In-house,5.5,128.65,1-3 %,4.0,5.0,4.0,4.0,10.3,Poor support,5.0,Light,Weekends,Van,2.79,6.52,0.76,38.2,0.46,Reduce service area,4.0,3.0,6.0,Yes,4.0,5.0,1.0,5.0,Data privacy,22.0,21.1,6 mo,Dubai core,"Back-to-School,Year-end,DSF",Yes,No,15.0,3.0,4.0,1 year
Abu Dhabi,Food-delivery,38.0,4.93,B2C,21.9,30.9,47.2,"6-9 PM,3-6 PM",22.1,Fetchr,4.7,55.48,1-3 %,2.0,3.0,4.0,5.0,13.0,Cost overruns,5.0,Moderate,Weekends,Van,3.14,3.26,6.26,32.6,0.94,Raise delivery fee,5.0,5.0,7.0,Yes,5.0,5.0,3.0,2.0,Tech failures,19.3,21.8,12 mo+,Northern Emirates,,No,Yes,6.7,5.0,3.0,Month-to-month
